"Tweet_text","ID"
"rt @hillary4florida: i'm not in favor of making college free for donald trumps kids.'-h     h",1494079
"rt @eljarh:  intensifying its attacks in  lna preventing any advance but civilians likely to suffer from indiscriminate shel",1606298
"did you not watch this vid, to busy huh ? no time to learn new shit eh  ? you're already a 'know it all' eh girl ? @sweetaphrodite",467669
"rt @tbagshitpants: why haven't you tweeted since the names were released? do you think nobody notices? , twat @hillaryclinton",1607019
"if you discovered your time and money was for  a scam, would you be angry? think about this when the offering plate comes by.",262680
"if you think that women talking about rape is a bad thing.",942540
"bernie you can harp on the vote to go into iraq.  but that was fourteen years ago.  what now is the question.  u have no answer.",994124
"if you focus on your purpose it will will guide you to your destiny. put  first then everything else.",1042269
"great need today is a marrying of genuine  and   and",1163269
"@ppact @jessicavalenti @cecilerichards good job the  and  people are pissing you lot off then, eh?",793342
"my  are you   it's too",1227570
"@liberty_pike would you like a copy of all of the '  ' tweets i get, threatening me with eternal damnation?",1252730
"reminder that male feminist is just a code word for budding rapist.",1489490
"@me_catholic how did you arrive at those conclusions?",1104495
"@senblumenthal how hypocritical of you, support adoption yet you are pro-abortion?",1258395
"peter singer, ethics professor advocates slaughter of unborn &amp; born, if that child might be inconvenient' or 'undesirable.'",902561
"@danoroadblade @jimbunds that's a doll. it's never been alive, &amp; definitely isn't a person. oopsies.   is",554465
"maybe instead of gun-control we could try psycho-control and lock up all the conservative sociopaths running around loose.",1529589
"rt @tlw3: we see very clearly that neither  nor  means shit to those who espouse them.",1441313
"missed out on tonight's van call? don't worry because you can get on the call with @adamparkhomenko and @neishablandin next week!",1608827
"@rodeodance @huffpostcrime oh no did we lose any other person? :-(",1534016
"rt @fidelbogen: the anti-feminist side is gaining in numbers, but more important is that it's attracting smarter and smarter people.",293048
"praying in the spirit for france!!!",1212055
"rt @teamsantorumak: @ricksantorum wrote the only  bill that restricts abortion  @alaskartlife we need a    h",571014
"rt @_madasucka: do what you gotta do liv",1208944
"women raped would have to carry to term &amp; give birth or would neglect the unwanted child they had tohave or would be forced carry",893728
"@pretendatheist pretending god doesn't exist and saying you are a very religious  is a very unusual status if i may say so.",751505
"white slave master christians forced you black people to be christian by beating it into you",464657
"@adamsflafan @salon don't think he is that crazy, if he could fix trump brains, and got on tap of them in the polls this week!",930580
"rt @peachcoffin: i  cause i have a goddamn uterus and an iq over 80",889929
"rt @wrtl: thank you @repribble along with the rest of our  wi congressional delegation for voting in favor of the reconciliation bi",790619
"everybody thought that hillary clinton was unbeatable, right? but we put together a select  committee",409003
"@bschopis emotions don't override a person's right to live, you psychopath.",1198618
"@ethanasmith amen on your tweet brother.  just as  because  the justified must lead!",1405293
"make wise choices this political season and vote for those who will fight to protect the innocent.",571830
"@kelleylwhite @laureldavilacpa. i'm really  looking forward to this debate   too.",1000988
"hillary was amused that her 41-yr-old pedophile client beat a polygraph, she lost 'all faith in polygraphs!'",1585694
"the pupil dilates in darkness and in the end finds light, just as the soul dilates in misfortune and in the end finds  @victorhugoqt",1126701
"rt @brutalatheist: the  concept of hell is clearly 'cruel and unusual punishment'.  the morality of man is superior to the word o",261566
"@djbvida @hillaryclinton the pain. prepare world for lies and private email servers that have been wiped both data and dust",1021146
"foxnews&gt;new  emails=~230 security issues b/f  attack- staff said no 2 ambassador security! @nytimes",509446
"how is it progressive to raise everyone's taxes so rich ppl can  get free stuff?",960182
"@kbee_z why can't we care about them all? do you think homelessness and starvation justifies killing  through",1442060
"@slate let me guess, like  this death sentence has nothing to do with",1177795
"@kevinmckenna63 your belief that  is all abt being  &amp;  is just plain wrong, as many christians can tell you.",793932
"just so we're clear, i identify myself as a child of  and a voice for the unborn, who have no voice.",913530
"@jachavez @nbcsnl he's awesome! going to be the best prez since ronald reagan!",867164
"@ancheta20 @clarkewolfe where did you get those stats? no other religion has killed more people than",1122711
"it was our embassy that had americans in it, clinton, so our military should be allowed to get in there!",618585
"@limportant_fr shame on the @prolifeaction &amp;  you don't want abortion but you kill people  let all women be free",1440146
"come on, 'a-theists'. tell us what you are with not without. i'm with  ~~~",674358
"activists only care about the 6% of woman who become pregnant after raped. they don't care about the 94% who are just raped.",1353942
"the best gift to receive: salvation. merry christmas!",1571910
"this giving tuesday make sure to donate to planned parenthood",1524763
"he said to me: it is done. i am alpha and omega; the beginning and the end (apoc21:6a)",1394082
"memo: liberally cut-n-run @repstickland stiffs $ for  causes by refusing to name date/time for debate event with me.",1116692
"@ppact no matter what you think, you will have to stand before the creator one day and give account for the babies you've killed.",1445523
"hillary clinton has the same forced cackle every time her emails are brought up.",1020148
"open your eyes to see the   is the bridge, line up... our   in  is in control... @rothschild",1370149
"absurdity of @gop  @foxnews etc. bs   is in their mindless support of guns&amp;terrorism 2 end existing lives @ungeneva",1539695
"laying in bed listening to the rain knowing there's just 6 hours work tomorrow before the weekend really begins!!",1475813
"@chrissyteigen is my idol. says it like it is and supports what is right in this world.",1540376
"rt @realtinconnor:  :the apa &amp; american cancer society are conspiring w 'big abortion'?    htt",788835
"so what do we think our legislators are doing? yes, making laws that legislate morality. even tax laws are based on moral issues",570148
"i just checked my cis white male privilege. it's doing awesome!",1139149
"i'm glad you @michaeljewell78 had a similar experience. i've always said, teach kids religion (elementary on) &amp; we'd have more",260415
"rt @blainyahoo:  because we need to hold men who sexually harass in the workplace accountable.",915508
"@davesterrett no response. i know they hold a  position but this material doesn't support that position. hoping they fix this",1440611
"waiting quietly for the day bernie will stop yelling at me. maybe he's just jealous of the progressive who gets stuff done.",986839
"become more thorough and work together. -vkittington",896490
"house of representatives passed planned parenthood defunding bill 240-189 but  say 11 videos all lies and the world is flat",788377
"the theory lingers in the word hysteria itself: its derived from the greek for womb.",928962
"oy vey   resort to th blame bush blame  strategy again    @lizclaman",843827
"rt @naralvirginia: more newly-elected  va general assembly members: @steveheretick @marklevinetalk @pricefordel95 &amp; new-to-the-se",892558
"rt @reasonandlogic: yes, @montlakeman, there was a moment when the big bang happened. how can you say what was existent before that?",263796
"@saundraoneal9 thx for the rt's @govmikehuckabee is unapologetically  !!",572891
"rt @tatewatson25: @willollogy @joyfmatl @kpstanfill as long as i live on earth i will praise him. thank you.  is good.",1334996
"promisedlanding: promisedlanding: promisedlanding: sillycult: themalesofgames uniofyork indeed. and they wonder why the term  is i",1143829
"@foxnews @fbi so you're saying they're trying to hide intell on a potentially terroristic attack? whoda thunk it",1606909
"emma campbell on @bbctalkback women are forced to carry a child and denied a choice",598964
"@spmilkshake @notmuchelse pregnancy is not torture! you are delusional &amp; have irrational fears of preg &amp; birth!",795018
"the lord jesus christ, the sovereign of the kingdom of god, gifted life and  to the people, the sovereign on earth.",1257812
"@bishopsansaricq god bless you but do not honor  because she is not  jesus god an the holy spirit deserve you honor the most",1378521
"one thing i've noticed..... most people talking shit about the liberals are pro-life..... hmm...",596929
"bushboy @jebbush and alone 4 killing a  'threat'?    to say-the-least",895780
"no vote. no voice. so true @repterrisewell!",1583484
"rt @ziedarling: thank you planned parenthood for helping soooo many women stay healthy and giving so many more hope.",1535156
"behold, the virgin shall be with child and bear a son, and they shall name him emmanuel, which means 'god is with us.' mt 1:23",953657
"@benwilhelm1230 @paul_hkr human being life cycle begins at conception. sci fact! abort kills human lives fact!",795757
"rt @amandaknief: fiorina: i defended the indiana rfra law.",1243059
"@nhjennifer did @kellyayotte lead by voting against  wrote letter to iran?  voted against women?",1106405
"@franklin_graham does god hear prayers?answer prayers?'  of course not that would require  existing~imaginary friends aren't real",1082425
"as an  i thought her answers were very poor. @realsammartin @godless_mom @theamologist",467711
"none of those numbers means squat @hillaryclinton if you can't quantify any positive results.  :&gt;(",839225
"our father who art in heaven hallowed be thy name. thy kingdom come. thy will be done on earth as it is in heaven",1214114
"omg...@hillaryclinton is really something. and you never did anything for",867692
"@leahntorres wait. are u denying the medical/biological fact that abortion kills fetus/embryo to make abortive women feel better?",1254484
"we need more americans involved in the political process.'",984211
"hillary always dropping the god name...whatevs",260385
"@jteedc probably not in the way you think :b and  &amp;  btw.",945170
"it's sexist 2 be telling women not 2 have sex b4 they want a baby, not men.they know what is best for their safety &amp; well being",1209168
"@dlp_is_back no, but  will make abusing women outside of clinics more difficult.  ?  is",1353768
"@cspan 2nd amend  2stop ppl frm dying mass shootings nusa  shd b applicable 2all life nt jus abortion",1540223
"louisiana the state where we have to settle for a dem governor candidate who isn't  in order to avoid the absurdity of the",893583
"...but 'pro-life' people are allowed to tacitly condone murderers without a peep from the public or the media.",1538039
"was the 3am phone call for  and   @smellyfed",1605702
"hey  how about let's put those 65k refuges in your neighborhood?",982104
"precious little one i hold you close love poured out to you now and forever every baby should be so blessed sanctity of life",1102969
"we must create a culture in which women who have had an abortion can feel supported in doing so",892299
"bills on the house floor today to defund planned parenthood &amp; allow conceal carry on college campuses. i will be a no on both.",1106325
"it amazes me the lack of compassion from  folk. so cold &amp; unsympathetic towards women!",904232
"they were condescending as if being an  was bad. i asked them to provide evidence and stop talking about religion. they finally stop",269541
"@26suicides this is exactly the type of provocation of which i speak.   deliberately provoke  to play victim.",914362
"@adriarichards this bitch got 2 family men fired because she overheard them talking about a dongle then she got fired",1492606
"@jdefiant9 wow, that third one is really disturbing. i don't usually like the word  but i think it's applicable there.",1319733
".@senatorfischer please consider adding your support to  good 4 nebraska families&amp;children. just good.",904290
"@sugeezy literally everyone should be ashamed of abortion.",1407890
"rt @sos_southwest: sundays   free  meeting 3:45pm unity church 9905 anderson mill rd 512-484-1177 science of",1388294
"i will go to the nearest jewish temple and demand a christian wedding. if they refuse i will take legal action.",1225000
"it shouldn't take a violent act for more people to  the attacks by congress over the summer were met with a lot of complacency.",1454904
"@inked1bna pissed americans dies for sure but you miss the point hrc lied to protect bho just weeks before the election..",1070778
"instead of working to help struggling families make ends meet, gop is trying to undermine access to womens health care.",1542629
"she will go after the executives",988285
"@drybones5 carol really did lowkey represent",915142
"when we put our cares in his hands, he puts his peace in our hearts.",1479737
"rt @chooseliferacer: great effective way to build a culture that respects life    @pegagnusdei @toupsfamily @biz_emom htt",1413478
"rt @thejessicamejia: 'i am tired of the stranglehold that women have had on the role of presidential spouse.' bill clinton",866239
"@jatkowski @asjbdorightthng i'm with you i understand",1534513
"@ari5el55 @lauravanoversch so true. one hand washes the other.",1444939
"proud to support @ppact &amp; @ppsouthtexas on",1544234
"@jaycaruso @katrinanation @thenation @zoecarpenter they are building a public case that all anti-abortionists are terror suspects.",1442177
"don't get all of the  supporters. if they approve of the shooter, why aren't they doing it too? cowardly? or just lack conviction?",1442151
"and pro murder? jeb bush says he'd go back in time and kill",896614
"i am thankful for the grace of god in sending his son to do what i could never do.",1377900
"as we trust  to give us wisdom for today's decisions, he will lead us a step at a time into what he wants us to be doing in the future.",1053172
"@goldengateblond thank u for making it clear for everyone out there",1534039
"rt @ironmanl1: islam has nothing to do with humanity",1186746
"@tams_p i am prolife and would defund planned parenthood. i believe there should be few exceptions in the law. i'll govern",792694
"rt @kissingoceans:  have to listen to comments like 'its more attractive when you..' 'boys dont like it if you..' as if we're h",915039
"did you know rosa parks was on the board of directors of @ppact?",1543066
"retweet this if you're a nevadan that proudly stands with hillary.",1137110
"@trutherbotred @spinosauruskin most legit reason to be a feminist ever.",505078
"rt @notmuchelse: why do they call them 'born-again' christians &amp; not 'conceived-again?' oh right, because birth is the beginning.",891275
"there's really no such thing as  there's only  and",1540441
"fact:  many females wear a variety of shoe styles &amp; that has 0 to do with men or patriarchy. @nomaaam",916158
"@defundpp keep your religious beliefs to yourself, losers.  fuck you.",891095
"youre not really prolife, if youre just not prochoice. not all life anyway. im calling them anti-choicers from now on, while i",1542574
"@me_catholic a little early to be trolling the   tag, don't you think? give it up. seriously.  is",788831
"instead of 'anti-abortion activist' instead let's call that ideology for what it is: anti-women's autonomy.",1529108
"@billdeblasio how crass to show the pic of the dead syr. boy and mock, you support abortion clinics.god forgive you.",1209968
"hillary clinton tonight will be amazing at the debate",999419
"@hfamobileal &lt;--- please follow to help grassroots ground troops to help    @hillaryclinton out!",1582807
"@harlicesurel do you get to *choose* whose kidney you get to take w/out consent under the guise of 'right to life'?  is",1199707
"rt @vigilantveteran: actually if you pan out a bit you'll see the rest of the image. @libertybellecjl @themorningspew   ht",867339
"at this point, hillary clinton might just be the only candidate i can take seriously.",1067483
"rt psalm139_13: murder is commonplace in america",795941
"all i need is",1328676
"@hillaryclinton what about the thousands of little kids killed every day by planned parenthood? guess they don't matter huh?",896127
"@eliah_r nothing is good for them, 'nuff said.",1139939
"you're not pro life if you threaten, attack, and/or hate people who need abortions",1200071
"i already am...to end the killing of 1 million babies a year. .",795145
"@brutalatheist speaking as an  every time i fly i always say a prayer before the plane takes off.",751656
"please don't waste your breath trying to tell me that abortion is anti-feminist. i'll ignore you like youre ignoring all reason.",892455
"when will  realize rape isn't just a woman's problem???? men are raped too!",927696
"rt @jamieagatharose: what did shanley have a dentist appointment? everyone else from the third reich is here.     h",137966
" , until i discovered how much fun that harassing women outside of clinics can be.",1202159
"bc they provided me with plan b the morning after my contraception failed. i couldn't have afforded to buy it anywhere else.",1532916
"@realjameswoods @jjauthor @hillaryclinton does a lot of dancing around that, doesn't she?",1020135
"my goal for the day: don't get raped.",1404333
"there's a difference between shooting someone and sucking a blood clot out of a uterus",1441060
"destructive pride and ignorance are among your worst personal enemies.",1470449
"just got like 20 pro life followers out of nowhere don't mind!",1203092
"@tpet57 ...u struggle to make ends meet, but definitely don't abandon ur 'rootless' cocksucking ways 4 no one, huh?... u cockloving",666059
"@bobkilker i understand. in the same way,  was co-opted by radfems and hijacked by  shit happens.",1144290
"rt @gkmtntwits: ty @hillaryclinton do not allow anyone to impugn your integrity!",988237
"rt @grandmahannah: cheering as @hillary is introduced @arl4hillary",998798
"beauty will never last but character will, so instead of beautifying our faces lets beautify our character.",1180711
"rt @reasonandlogic: faith makes only self-delusion possible; it's pretending to know things you don't know. @faithjob_    vs",455796
"lol the intellect of a blind fool @sweetaphrodite  do not look, and, you will not see typical of the  mentality @stace8383",448728
"bsamfayez: talha ibn ubaidullah dedicated his  to  and   and he started doing so at a v",1188563
"hillary has trustability issues. but people trust her most to handle terrorism? when did we enter the twilight zone?",1602459
"every individual has the knowledge, freedom, and power to achieve optimal reproductive health.",936911
"babies are babies &amp; fetuses are fetuses. i refuse to have a conversation with someone who doesn't know the difference!",1252652
"@mtfmusicals what female writers should join us 4 @musematchorg 6  @54below i hope 2 meet some tonight at the gala!",913906
".@tedcruz '@hillaryclinton represents the failed policies of the past'",844108
"faith, if it is ever right about anything, it is right by accident.' - sam harris",467131
"rt @thinkfirst6: superb talk by bishop doran @chooselife2014 on  and the duty of voters to put the politicians under pressure befor",1407936
"go ahead, legalize your dope,  as a  i stand with  and",796702
"planned parenthood is a place of healing and compassionate carethe attack in colorado is just heartbreaking.",1447714
"@2ward4ward so we understand how religion &amp; government will be affected if one of these folks is elected.",1243124
"rt 'rt thefirstcondor: soulesssniper he was throwing dissenters off roofs and dropping ppl into wood chippers....'",677236
"rt @kaimatai: i doubt that ancient people with no knowledge of soap's benefits had any special knowledge of the universe &amp; our purpose",271623
"rt @can2009: you will become a witness for  because god is in you.  when you pray for others, they will be touched, because god is in y",1378106
"rt @thediesei: why can't women drive? because there's no road between the kitchen and the bedroom.",915583
"you're evading. proving the bible by quoting the bible is circular, thus invalid. why do you believe the bible? @ulexon    vs",270792
"@shakestweetz and it was the one with the uterus, right?",1534381
"@naral maybe supporting a culture of life would draw a sharper contrast between the west and isis...",974580
"@johnlegere @rondarousey don't worry about trump. he and his supporters will have no phones soon because all 5 carriers",1106624
"why all the fuss about @hillaryclinton wearing a  ? she's spent years covering up stuff...",956781
"@salenazitotrib @nickconfessore the  league has a new champion. when the  bros. fund @pbs docs, does the  cry?",896086
"rt @sikhgyan300: pain is changed into  and the fearful becomes  for those who dwell with",1047943
"rt @michael58238424: 'near the snow, near the sun... see the names of those who in their lives fought for life'   h",901018
"guess the  just killed their  argumentcondemning  to death at the hands of their abusers is not",1101475
"apparently you can watch @txalliance4life live while they praise  like @dr_sheffield who opposed  legislation.",577336
"rt @corasherlock: seems  welcome men's opinion if they're  but not if they dare to express  opinion. know yo",1539195
"he's trying to make us think he's strong on guns. hilarious.",855333
"please note the  @antlomax it's apparently above @tyson_fury germ minded braindead fools s0's idiots @richarddawkins",1579223
"abortion wouldn't just end. people would die from treatable illnesses. consent wouldn't matter for people anymore.",893823
"and republicans should be charged for inciting and promoting the fringe dregs of society. shame on them!",1533787
"@ppact @hillaryclinton black lives matter? what about the millions of black babies aborted every year lol",1067918
"i can say what i wanna say about what's going on in the world but its all fake unless u do some about it.  see everything",1053273
"@jayzzgurl @therightgirl585 when carson answered an abortion question by saying life begins after about 21 days--sorry, he isn't",581372
"i  love, light, &amp; healing to those affected by the tragedy in the springs.",1459496
"on a final note please pray for &amp; retweet @drbriankiczek &amp; @esmerald_kiczek &amp; family as we all need to  urgently.",951174
"@prolifeaction as long as you focus on extremes of the  position, u abort ur own credibility w those who know facts better than u do",901623
"@jackmaedgen berniebro maniacs. i saw the hateful on the seiu page; it's cray! go away. millions will vote for hillary.",1193360
"120 dead in   is good for the world  my ass!!!!!!!!!",1053540
"all our claims to freedom have become heavy chains and in the name of rights we keep filling nameless graves.",796810
"@emilysteers trying to shame women for going to the doctor is shameful!",1459623
"@philkimtweets @hillaryfornv thank you to aapi councilwoman @gerrischroder for being here with us!  @hillaryclinton",995396
"there is broad consensus... what we are lacking is political leadership'. hillary can lead.  @hillaryclinton",987304
"@notmuchelse once it's conceived a living human is growing in you. your unborn child whether u want it or not!",565760
"never-mind thatyour american  tax-exempted   &amp; ' &amp;  bs r like the  greatest lies anyway",572380
"doctors appointment. i love hearing my tiny humans heartbeat",1444728
"with the amount of christian men who 'hear from god' everytime they get horny around women you'd think god only talked to them",1115040
"planned parenthood should be defunded and now !! what does it take for justice for our unborn ? there is none.",913205
"rt @nicolemerchut: always a class act @hillaryclinton",862813
"is the bane of human existence. need proof? watch the video from",742921
"@marxistssuck : not all  are  and not all  people are",1439883
"started my  with a donation to @ppfa . protecting women's access to health care is crucial.",1525351
"i'm pro life because i hate women",1117357
" ohioans, follow dem rep @repbillpatmon who just cited @ppact founder m.sanger on the oh house floor re: her calling blacks 'weeds.'",1101890
"wat'sA distasteful 2day'll bcom a norm in future. society is unravelling around us as a consequence,things will only get worse.A",464746
"ugh @scandalabc couldn't pick anything better for mellie to filibuster for than the largest abortion company in the world?",1204940
"@datagenesis @andyowens23 hope you can join us in the fight for  and our",1224730
"hey bernie, i doubt people are going to bed in paris tonight having nightmares about climate change",1010833
"does @sensanders know he can't yell himself into the white house? and i agree with him on the issues!",1019629
"@suzemclaughlin and @scotnational published the  response in their online edition but not the  response. @kevinmckenna63",581064
"rt @swiftread: my net wants @tgowdysc 4  'best rep to make @gop arguments w/  @pryan, fight-on w&amp;m/budget",579713
"media says hillary is smartest women. that is insulting to all women.",838994
"i've come to know that my place on social media is not to argue with liberal trolls, but rather promote &amp; move forward our  agenda.",899520
"@perdnoot u can easily download quran on ur android. reading quran won't cost you.",268553
"rt @halibutron: rt @juliaparktracey: new rule: you don't get to call yourself  if you shoot people.",1529002
